Timestamp,Temperature,TDS,Turbidity,pH
2024-08-08 17:25:10,23.25,769.81,9.88,3.02
2024-08-08 17:25:11,23.25,765.11,9.96,3.10
2024-08-08 17:25:12,23.19,788.68,9.85,3.02
2024-08-08 17:25:14,23.22,755.65,4.99,3.07
2024-08-08 17:25:15,23.22,755.64,2.01,3.09
2024-08-08 17:25:16,23.19,755.65,2.61,3.18
2024-08-08 17:25:17,23.22,746.16,1.78,3.18
2024-08-08 17:25:19,23.22,783.98,2.67,2.96
2024-08-08 17:25:20,23.25,760.36,9.19,3.10
2024-08-08 17:25:21,23.25,750.91,5.82,3.16
2024-08-08 17:25:22,23.22,750.91,0.00,3.16
2024-08-08 17:25:24,23.22,741.42,0.09,3.09
2024-08-08 17:25:25,23.25,741.42,2.58,3.15
2024-08-08 17:25:26,23.19,746.16,0.09,3.20
2024-08-08 17:25:27,23.25,746.16,0.30,3.11
2024-08-08 17:25:29,23.22,760.36,0.25,3.05
2024-08-08 17:25:30,23.22,755.62,0.23,3.11
2024-08-08 17:25:31,23.19,783.94,0.00,3.00
2024-08-08 17:25:32,23.19,750.91,0.11,3.09
2024-08-08 17:25:34,23.22,746.16,0.25,3.12
2024-08-08 17:25:35,23.22,741.42,2.08,3.18
2024-08-08 17:25:36,23.19,746.16,7.04,3.15
2024-08-08 17:25:38,23.19,765.07,6.27,3.04
2024-08-08 17:25:39,23.19,750.91,8.90,3.13
2024-08-08 17:25:40,23.22,755.65,8.58,3.18
2024-08-08 17:25:41,23.22,750.91,6.15,3.13
2024-08-08 17:25:43,23.19,750.91,7.15,3.09
2024-08-08 17:25:44,23.19,750.91,9.22,3.16
2024-08-08 17:25:45,23.25,755.65,8.07,3.18
2024-08-08 17:25:46,23.22,769.81,5.48,3.07
2024-08-08 17:25:48,23.19,755.65,7.26,3.12
2024-08-08 17:25:49,23.19,746.16,8.51,3.16
2024-08-08 17:25:50,23.19,750.91,7.56,3.17
2024-08-08 17:25:51,23.19,755.65,5.92,3.11
2024-08-08 17:25:53,23.22,765.07,7.79,3.01
2024-08-08 17:25:54,23.19,736.68,8.63,3.16
2024-08-08 17:25:55,23.19,741.42,5.95,3.15
2024-08-08 17:25:56,23.19,741.42,6.79,3.11
2024-08-08 17:25:58,23.22,741.42,9.07,3.17
2024-08-08 17:25:59,23.19,736.68,6.77,3.17
2024-08-08 17:26:00,23.19,736.68,6.08,3.13
2024-08-08 17:26:01,23.19,736.68,8.87,3.15
2024-08-08 17:26:03,23.19,741.42,7.76,3.18
2024-08-08 17:26:04,23.19,741.42,6.25,3.13
2024-08-08 17:26:05,23.19,741.42,8.62,3.13
2024-08-08 17:26:07,23.19,746.16,8.30,3.18
2024-08-08 17:26:08,23.19,750.89,6.57,3.10
2024-08-08 17:26:09,23.19,736.68,7.60,3.11
2024-08-08 17:26:10,23.19,760.33,8.91,3.10
2024-08-08 17:26:12,23.19,765.03,5.90,3.13
2024-08-08 17:26:13,23.16,779.19,5.50,2.95
2024-08-08 17:26:14,23.19,746.16,8.83,3.15
2024-08-08 17:26:15,23.19,736.68,7.10,3.17
2024-08-08 17:26:17,23.19,760.33,5.54,3.03
2024-08-08 17:26:18,23.19,760.33,7.75,3.05
2024-08-08 17:26:19,23.19,760.33,8.62,3.11
2024-08-08 17:26:20,23.19,741.42,5.96,3.13
2024-08-08 17:26:22,23.19,741.42,6.68,3.12
2024-08-08 17:26:23,23.19,736.68,9.04,3.16
2024-08-08 17:26:24,23.19,741.42,6.73,3.17
2024-08-08 17:26:25,23.19,741.42,6.04,3.11
2024-08-08 17:26:27,23.19,736.68,8.72,3.12
2024-08-08 17:26:28,23.19,802.89,8.17,2.89
2024-08-08 17:26:29,23.19,741.42,5.55,3.14
2024-08-08 17:26:30,23.19,736.68,7.63,3.13
2024-08-08 17:26:32,23.19,750.91,8.79,3.16
2024-08-08 17:26:33,23.19,736.68,6.56,3.15
2024-08-08 17:26:34,23.19,746.16,6.73,3.11
2024-08-08 17:26:35,23.19,746.16,9.01,3.14
2024-08-08 17:26:37,23.19,774.49,6.98,3.02
2024-08-08 17:26:38,23.19,741.42,6.55,3.12
2024-08-08 17:26:39,23.19,746.16,8.78,3.16
2024-08-08 17:26:41,23.19,793.12,6.92,3.06
2024-08-08 17:26:42,23.16,741.42,6.41,3.09
2024-08-08 17:26:43,23.16,755.62,9.02,3.08
2024-08-08 17:26:44,23.19,736.68,7.29,3.18
2024-08-08 17:26:46,23.19,736.68,6.49,3.10
2024-08-08 17:26:47,23.19,750.91,8.92,3.14
2024-08-08 17:26:48,23.16,741.42,7.19,3.19
2024-08-08 17:26:49,23.19,741.42,6.21,3.12
2024-08-08 17:26:51,23.19,741.42,8.85,3.14
2024-08-08 17:26:52,23.19,760.28,6.92,3.15
2024-08-08 17:26:53,23.19,760.33,5.75,3.03
2024-08-08 17:26:54,23.19,736.68,8.85,3.14
2024-08-08 17:26:56,23.16,741.42,7.88,3.18
2024-08-08 17:26:57,23.19,736.68,6.30,3.10
2024-08-08 17:26:58,23.19,741.42,8.25,3.12
2024-08-08 17:26:59,23.16,755.58,8.51,3.10
2024-08-08 17:27:01,23.19,765.07,6.22,3.01
2024-08-08 17:27:02,23.16,736.68,6.98,3.11
2024-08-08 17:27:03,23.19,741.42,9.11,3.17
2024-08-08 17:27:04,23.19,741.42,7.70,3.15
2024-08-08 17:27:06,23.19,736.68,5.71,3.11
2024-08-08 17:27:07,23.16,736.68,8.03,3.11
2024-08-08 17:27:08,23.16,750.87,8.68,3.10
2024-08-08 17:27:10,23.16,750.87,6.13,3.08
2024-08-08 17:27:11,23.16,736.68,6.79,3.10
2024-08-08 17:27:12,23.16,736.68,9.02,3.18
2024-08-08 17:27:13,23.16,769.78,6.65,3.02
2024-08-08 17:27:15,23.16,741.42,6.83,3.12
