Timestamp,Temperature,TDS,Turbidity,pH
2024-08-08 17:40:46,23.03,736.68,3.54,3.12
2024-08-08 17:40:47,23.06,722.41,7.97,3.16
2024-08-08 17:40:48,23.06,722.41,3.00,3.15
2024-08-08 17:40:50,23.06,722.41,7.80,3.17
2024-08-08 17:40:51,23.06,722.41,3.73,3.13
2024-08-08 17:40:52,23.06,717.66,6.36,3.18
2024-08-08 17:40:54,23.06,731.92,6.01,3.13
2024-08-08 17:40:55,23.06,764.98,3.87,3.03
2024-08-08 17:40:56,23.06,736.68,7.75,3.11
2024-08-08 17:40:57,23.06,727.17,3.24,3.15
2024-08-08 17:40:59,23.06,741.32,7.81,3.10
2024-08-08 17:41:00,23.06,722.41,3.60,3.13
2024-08-08 17:41:01,23.06,722.41,6.48,3.18
2024-08-08 17:41:02,23.06,722.41,5.92,3.13
2024-08-08 17:41:04,23.06,717.66,3.54,3.18
2024-08-08 17:41:05,23.06,731.92,7.98,3.15
2024-08-08 17:41:06,23.06,741.36,3.17,3.12
2024-08-08 17:41:07,23.06,731.92,7.79,3.17
2024-08-08 17:41:09,23.06,717.66,3.85,3.15
2024-08-08 17:41:10,23.06,727.17,5.98,3.15
2024-08-08 17:41:11,23.06,717.66,6.50,3.15
2024-08-08 17:41:12,23.06,722.41,3.43,3.16
2024-08-08 17:41:14,23.06,769.79,7.86,2.96
2024-08-08 17:41:15,23.06,746.12,3.09,3.09
2024-08-08 17:41:16,23.06,722.41,7.72,3.16
2024-08-08 17:41:17,23.06,722.41,4.12,3.14
2024-08-08 17:41:19,23.06,727.17,5.40,3.18
2024-08-08 17:41:20,23.06,727.17,6.83,3.16
2024-08-08 17:41:21,23.06,727.17,3.38,3.15
2024-08-08 17:41:22,23.06,736.61,7.88,3.11
2024-08-08 17:41:24,23.06,736.61,3.03,3.09
2024-08-08 17:41:25,23.06,717.66,7.50,3.17
2024-08-08 17:41:26,23.06,722.41,4.80,3.14
2024-08-08 17:41:28,23.06,727.17,4.60,3.17
2024-08-08 17:41:29,23.06,717.66,7.22,3.16
2024-08-08 17:41:30,23.06,722.41,3.32,3.17
2024-08-08 17:41:31,23.03,741.36,7.83,3.09
2024-08-08 17:41:33,23.06,731.92,3.23,3.14
2024-08-08 17:41:34,23.06,741.36,7.09,3.08
2024-08-08 17:41:35,23.06,727.17,5.53,3.13
2024-08-08 17:41:36,23.06,727.17,3.95,3.18
2024-08-08 17:41:38,23.06,755.56,7.89,3.02
2024-08-08 17:41:39,23.06,727.17,3.14,3.15
2024-08-08 17:41:40,23.06,736.64,7.82,3.17
2024-08-08 17:41:41,23.06,731.92,3.38,3.15
2024-08-08 17:41:43,23.06,727.17,6.48,3.19
2024-08-08 17:41:44,23.06,722.41,6.02,3.14
2024-08-08 17:41:45,23.06,717.66,3.73,3.18
2024-08-08 17:41:46,23.03,722.41,7.90,3.15
2024-08-08 17:41:48,23.06,722.41,3.16,3.15
2024-08-08 17:41:49,23.06,765.07,7.76,3.01
2024-08-08 17:41:50,23.06,722.41,3.72,3.13
2024-08-08 17:41:51,23.06,722.41,6.17,3.18
2024-08-08 17:41:53,23.06,727.17,6.23,3.13
2024-08-08 17:41:54,23.06,722.41,3.68,3.16
2024-08-08 17:41:55,23.06,736.64,7.98,3.13
2024-08-08 17:41:57,23.06,722.41,3.13,3.15
2024-08-08 17:41:58,23.06,717.66,7.76,3.16
2024-08-08 17:41:59,23.06,722.41,3.95,3.11
2024-08-08 17:42:00,23.06,722.41,6.05,3.17
2024-08-08 17:42:02,23.06,746.12,6.33,3.03
2024-08-08 17:42:03,23.06,722.41,3.59,3.17
2024-08-08 17:42:04,23.03,760.32,7.97,3.02
2024-08-08 17:42:05,23.06,736.61,3.11,3.09
2024-08-08 17:42:07,23.06,727.17,7.76,3.17
2024-08-08 17:42:08,23.06,722.41,4.12,3.13
2024-08-08 17:42:09,23.06,722.41,5.60,3.16
2024-08-08 17:42:10,23.06,722.41,6.76,3.14
2024-08-08 17:42:12,23.06,736.64,3.54,3.10
2024-08-08 17:42:13,23.06,760.32,7.94,3.02
2024-08-08 17:42:14,23.06,722.41,3.07,3.15
2024-08-08 17:42:15,23.06,717.66,7.53,3.15
2024-08-08 17:42:17,23.06,741.40,4.88,3.05
2024-08-08 17:42:18,23.06,727.17,4.59,3.19
2024-08-08 17:42:19,23.06,717.66,7.45,3.13
2024-08-08 17:42:20,23.06,722.41,3.32,3.15
2024-08-08 17:42:22,23.06,731.92,7.87,3.16
2024-08-08 17:42:23,23.06,722.41,3.21,3.14
2024-08-08 17:42:24,23.06,731.92,7.08,3.17
2024-08-08 17:42:25,23.06,727.17,5.46,3.10
2024-08-08 17:42:27,23.06,722.41,4.15,3.15
2024-08-08 17:42:28,23.06,750.84,7.69,3.01
2024-08-08 17:42:29,23.06,717.66,3.30,3.15
2024-08-08 17:42:31,23.06,722.41,8.11,3.17
